customer_id,customer_visit_score,customer_product_search_score,customer_ctr_score,customer_stay_score,customer_frequency_score,customer_product_variation_score,customer_order_score,customer_affinity_score,customer_active_segment,X1,customer_category,Customer_affinity_category,Customer_frequency_category,Customer Visit Category
csid_1,13,9.447661690795815,-0.07020264289389792,-0.13954087928616138,4,4,2.5379850518699762,7,C,F,0,1,1,3
csid_2,17,7.329055988983632,0.153298208323694,-0.10272624143736324,3,4,4.193444102300882,17,C,A,0,1,1,4
csid_3,17,5.1436762479362015,0.10670915310922773,0.2628337443816341,4,4,3.8789714957148176,12,C,BA,0,1,1,4
csid_4,31,4.917739697443395,-0.020226007768763144,-0.1005257753213068,7,5,2.708939613963618,4,AA,F,0,1,1,7
csid_5,11,4.237073092290707,0.1871783037553472,0.1728908212454018,1,3,3.6773601356166137,56,C,AA,0,2,1,3
csid_6,9,7.051568305647723,0.16156432965077105,0.040996943802132764,1,4,3.1819611314049268,18,C,BA,0,1,1,2
csid_7,13,5.625178771495777,0.00963366426194474,-0.019997772619353704,1,4,4.689834296990235,109,B,E,0,3,1,3
csid_8,32,3.5635683054477987,-0.050729603154613535,,2,4,4.041260409217428,24,AA,A,0,1,1,7
csid_9,20,5.111681589887463,0.1339222648197755,0.03689341176164648,4,4,3.4074239353472597,17,C,BA,0,1,1,4
csid_10,13,3.8292986947357543,0.15910210398276464,0.16581811717781247,5,6,3.3154616724153763,9,B,BA,0,1,1,3
csid_11,26,5.663577442382098,-0.10044093531318644,0.055493272758846315,12,7,2.6578718646727713,4,B,BA,0,1,1,6
csid_12,29,2.987411103058076,-0.02717619579261316,0.02927896714167611,2,4,3.884185465845384,41,C,AA,0,1,1,6
csid_13,27,3.650067738538677,-0.04025375929043752,-0.009910941480909685,21,7,2.1191135265183068,2,C,F,0,1,1,6
csid_14,30,3.3821972327317327,0.10951609431108453,0.16347485111212953,6,5,3.433523298144563,20,AA,A,0,1,1,6
csid_15,34,5.106674726413078,-0.009464479703651664,0.009928378689388395,14,5,2.282995882930245,5,A,F,0,1,1,7
csid_16,21,7.42794149905774,-0.031654610856957914,-0.0651744921991115,6,3,3.3729074416559173,20,B,A,0,1,1,5
csid_17,25,5.838332692444861,0.040020498351248386,-0.04061668558439754,3,3,4.5846364361500385,21,B,BA,0,1,1,5
csid_18,20,4.432001011802513,0.12490499088450392,,3,4,3.5145745432939033,9,C,BA,0,1,1,4
csid_19,21,7.141112551577155,-0.015681375664994588,-0.0682048301207346,8,7,3.000827890217964,2,C,F,0,1,1,5
csid_20,12,4.1285257613973325,0.4720052676123082,0.7253842681541884,55,7,2.0648062792498934,0,B,F,1,1,1,3
csid_21,17,4.78278118151315,0.18012205454321298,-0.003636161573802782,9,5,2.492780564282704,6,B,F,0,1,1,4
csid_22,12,5.1822469133683775,0.04704247603749658,0.07238443025218384,5,4,2.372085844636581,13,C,BA,0,1,1,3
csid_23,24,5.711134644448018,0.1062473431446881,0.1985078053683809,2,3,4.585938248058506,27,B,BA,0,1,1,5
csid_24,25,8.571171299703593,0.07473611404591192,-0.07398301043892674,9,6,2.2204523666923195,5,C,BA,0,1,1,5
csid_25,23,5.112091511600749,0.12695471784710605,-0.02866749489037837,3,4,3.9328400635733636,8,C,BA,0,1,1,5
csid_26,20,8.4260757947557,0.08546410782657905,-0.017075408437131,16,7,2.776162606893973,2,C,BA,0,1,1,4
csid_27,25,5.820362565442432,0.04843328950832133,0.002896282117071303,3,3,3.4157945536638548,28,B,A,0,1,1,5
csid_28,20,9.204977695217526,-0.0007589496420494793,-0.11555543593147248,4,4,4.35556731322138,17,B,BA,0,1,1,4
csid_29,14,3.252078601118562,0.06039874539597696,-0.023420178617987626,5,4,3.824845245703085,23,B,BA,0,1,1,3
csid_30,16,5.060338409453627,0.06895320132670453,0.039036214117251625,2,4,5.083201632681615,41,B,AA,0,1,1,4
csid_31,22,6.067534377303058,0.029419464112101962,0.16205745879512312,1,4,4.858139934333252,45,C,AA,0,1,1,5
csid_32,22,6.295820655330224,0.1442714353389332,0.17755223319405608,0,4,4.512894847062883,82,B,AA,0,2,1,5
csid_33,26,5.8462104100786405,-0.014364676925775198,-0.03786871563458565,5,4,3.3185292424337236,12,C,BA,0,1,1,6
csid_34,17,4.047061799527366,-0.15208414030558973,-0.032751826514211484,7,5,3.05053991346796,8,B,BA,0,1,1,4
csid_35,23,8.039376675095625,0.06033167375096653,0.005144591554079195,2,4,4.439467864580309,11,C,A,0,1,1,5
