customer_id,customer_visit_score,customer_product_search_score,customer_ctr_score,customer_stay_score,customer_frequency_score,customer_product_variation_score,customer_order_score,customer_affinity_score,customer_active_segment,X1,customer_category
csid_1,13.168424934582866,9.447661690795815,-0.07020264289389792,-0.13954087928616138,0.4369560308164117,4.705760939212163,2.537985051869976,7.959503221378464,C,F,0
csid_2,17.092978802911414,7.329055988983633,0.153298208323694,-0.10272624143736324,0.38034014369533703,4.205138052536993,4.193444102300882,17.517380834476114,C,A,0
csid_3,17.505334331849912,5.1436762479362015,0.10670915310922771,0.2628337443816341,0.4176479939050905,4.479069791025262,3.8789714957148176,12.595154763222071,C,BA,0
csid_4,31.423381172879708,4.917739697443395,-0.020226007768763144,-0.10052577532130681,0.7781297093360258,5.055534976057203,2.708939613963618,4.795073176836257,AA,F,0
csid_5,11.909501720759142,4.237073092290707,0.1871783037553472,0.1728908212454018,0.16206653972960072,3.4452468370129132,3.677360135616614,56.63632582315664,C,AA,0
csid_6,9.007921731226501,7.051568305647722,0.16156432965077103,0.04099694380213276,0.19193509944707546,4.209839780087375,3.181961131404927,18.86267951508423,C,BA,0
csid_7,13.70710866834896,5.625178771495776,0.009633664261944739,-0.019997772619353704,0.17762195100625178,4.165093232047202,4.689834296990235,109.2033517509807,B,E,0
csid_8,32.04212203026742,3.5635683054477987,-0.05072960315461354,,0.25705951091414325,4.366761286638949,4.041260409217429,24.036320996587484,AA,A,0
csid_9,20.43418134734105,5.111681589887463,0.1339222648197755,0.036893411761646476,0.4423141223990243,4.759516224050496,3.40742393534726,17.07812263420404,C,BA,0
csid_10,13.778213918493677,3.829298694735754,0.15910210398276464,0.16581811717781247,0.5581873492467218,6.255980102907037,3.3154616724153763,9.443863754209817,B,BA,0
csid_11,26.020118991759706,5.663577442382099,-0.10044093531318644,0.05549327275884631,1.2775219923067411,7.071607553090804,2.657871864672771,4.202380034752886,B,BA,0
csid_12,29.741275263135993,2.9874111030580757,-0.027176195792613156,0.02927896714167611,0.2885011214588558,4.215455327653382,3.8841854658453836,41.49678167047202,C,AA,0
csid_13,27.90981845930231,3.6500677385386764,-0.04025375929043752,-0.009910941480909685,2.1421217402576045,7.421150456213016,2.1191135265183068,2.6652949104779404,C,F,0
csid_14,30.22610215112176,3.382197232731733,0.10951609431108451,0.16347485111212953,0.6585540030898652,5.343206547255879,3.433523298144563,20.73672921658252,AA,A,0
csid_15,34.05053965239891,5.106674726413078,-0.009464479703651664,0.009928378689388395,1.4512076454964504,5.609728031830449,2.2829958829302455,5.942930083985658,A,F,0
csid_16,21.223560508998446,7.42794149905774,-0.03165461085695791,-0.0651744921991115,0.6458885942827767,3.641017275204078,3.372907441655917,20.531030189970913,B,A,0
